name	sensor	event	print_ID	time	frame	height	length	lat	lon	east	north
20240805003A	TIR	1	1	2024-08-05 12:39:37.3	19938	76.2	NA	-21.2117976235452	55.2722792903143	320674.364151917	7653433.38598145
20240805003A	TIR	1	1	2024-08-05 12:39:37.3	19938	76.2	NA	-21.2122987781106	55.2723571927545	320683.057235631	7653377.98996503
20240805003A	RGB	1	NA	2024-08-05 12:38:46.5	18414	76	NA	-21.2118053920311	55.2725884490958	320706.469339302	7653432.87616348
20240805003A	RGB	1	NA	2024-08-05 12:39:12.5	19194	75.9	NA	-21.2122012439779	55.2727230235433	320720.918579596	7653389.20269245
20240805005A	TIR	1	1	2024-08-05 12:56:48.5	16769	81.6	NA	-21.2075102822273	55.2792087852756	321388.600529983	7653915.88415376
20240805005A	TIR	1	2	2024-08-05 12:56:48.5	16769	81.6	NA	-21.2077973245309	55.2792475937887	321392.974967526	7653884.14875258
20240805005A	RGB	1	NA	2024-08-05 12:56:42.5	16589	81.6	NA	-21.2078021246431	55.2792265908978	321390.800242052	7653883.59362261
20240805005A	RGB	1	NA	2024-08-05 12:56:20.5	15928	81.4	NA	-21.2074391017714	55.2790452894578	321371.540856768	7653923.58024502
20240809002A	TIR	1	1	2024-08-09 12:25:37.8	2391	70.2	NA	-21.2047229242158	55.2763233919999	321085.681692405	7654221.2216968
20240809002A	TIR	1	2	2024-08-09 12:25:37.8	2391	70.2	NA	-21.2045183372142	55.2763283775856	321085.952762092	7654243.87769972
20240809002A	RGB	1	NA	2024-08-09 12:25:02	1321	70.2	NA	-21.2047115147965	55.2765514130657	321109.341401077	7654222.74252528
20240809002A	RGB	1	NA	2024-08-09 12:25:26.2	2042	70.4	NA	-21.2045579215183	55.2764463133982	321098.244733303	7654239.62848593
20240723002A	TIR	1	1	2024-07-23 12:58:29.4	10264	90	NA	-21.0738355289383	55.2098310173373	314018.923982438	7668635.80251204
20240723002A	TIR	1	2	2024-07-23 12:58:29.4	10264	90	NA	-21.0740030962251	55.209822061517	314018.201828805	7668617.24000217
20240723002A	TIR	1	3	2024-07-23 12:58:29.4	10264	90	NA	-21.0741558714028	55.2098282884943	314019.038997802	7668600.33291721
20240723002A	RGB	1	NA	2024-07-23 12:58:18.8	9943	90	NA	-21.0741468384759	55.2098411297262	314020.36215848	7668601.34798557
20240723002A	RGB	1	NA	2024-07-23 12:58:04.8	9522	90	NA	-21.0740770357237	55.2098365827254	314019.802803969	7668609.07082009
20240723002A	RGB	1	NA	2024-07-23 12:57:48.2	9027	90	NA	-21.0738668623591	55.2098758638866	314023.623218012	7668632.38583512
