name	time	frame	height	yaw	pitch	roll	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	length	flukeprint_width	fluke_span	body_length	age_class
20240729001A	59:34.4	4990	90.3	316	-90	0	-21.01021278	55.20948026	313903.4122	7675679.301	40	K	439.51	603.41	313904.9756	7675680.154	313901.8487	7675678.447	-118.6310888	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.562602177	NA	NA	adult
20240729001A	00:04.2	5878	90.1	323.9	-89.9	0	-21.0094889	55.20964676	313919.8231	7675759.638	40	K	452.43	907.05	313921.3747	7675760.541	313918.2715	7675758.735	-120.2033168	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.590687267	NA	NA	adult
20240729001A	59:46.2	5339	90.2	323.9	-89.9	0	-21.00982775	55.20949386	313904.348	7675721.945	40	K	559.7	685.22	313905.9106	7675722.847	313902.7853	7675721.044	-119.9877879	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.608290616	NA	NA	adult
20240729001A	58:58.2	3903	90.4	316	-89.9	0	-21.01100992	55.2096123	313918.1285	7675591.202	40	K	532.34	875.385	313919.0966	7675592.744	313917.1603	7675589.659	-147.8811813	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.641948061	NA	NA	adult
20240729001A	59:52.8	5539	90.1	323.9	-89.9	0	-21.00972667	55.20955163	313910.2287	7675733.203	40	K	423.24	691.05	313911.7478	7675734.249	313908.7096	7675732.158	-124.5391606	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.688307391	NA	NA	adult
20240729001A	59:05.8	4129	90.2	316	-89.9	0	-21.01075393	55.20954793	313911.1181	7675619.468	40	K	526.54	878.285	313912.2538	7675620.993	313909.9824	7675617.943	-143.317745	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.802181479	NA	NA	adult
20240729001A	01:00.6	7573	89.9	27.1	-89.9	0	-21.00785164	55.20964778	313917.8984	7675940.906	40	K	683.025	610.05	313919.3008	7675942.208	313916.4959	7675939.604	-132.8728328	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.827396868	NA	NA	adult
20240729001A	59:39.6	5143	90.1	321.9	-90	0	-21.00998249	55.20945113	313900.0976	7675704.764	40	K	499.13	612.97	313901.7702	7675705.772	313898.4251	7675703.757	-121.0653444	Jul-29th-2024-03-56PM-Flight-Airdata	NA	3.90524026	NA	NA	adult
20240729001A	29/07/2024 11:58	3896	90.4	316	-90	0	-21.0103431	55.20982242	313939.1446	7675665.272	40	K	1428.53	402.66	313934.8883	7675669.708	313943.4009	7675660.835	136.1862448	Jul-29th-2024-03-56PM-Flight-Airdata	12.29587305	NA	NA	12.29587305	adult
20240729001A	58:59.4	3938	90.4	316	-89.9	0	-21.0102617	55.20980418	313937.1474	7675674.263	40	K	1436.685	392.39	313933.0037	7675678.78	313941.2912	7675669.747	137.4631835	Jul-29th-2024-03-56PM-Flight-Airdata	12.25856313	NA	NA	12.25856313	adult
20240729001A	59:08.8	4218	90.2	316	-90	0	-21.00999388	55.20984009	313940.5484	7675703.956	40	K	1509.63	522.47	313936.5798	7675708.913	313944.517	7675698.999	141.3183964	Jul-29th-2024-03-56PM-Flight-Airdata	12.69977106	NA	NA	12.69977106	adult
20240729001A	59:49.2	5432	90.1	323.9	-90	0	-21.00918217	55.20991741	313947.58	7675793.913	40	K	1491.725	245.85	313943.7268	7675799.113	313951.4331	7675788.713	143.4623236	Jul-29th-2024-03-56PM-Flight-Airdata	12.94406296	NA	NA	12.94406296	adult
20240729001A	29/07/2024 11:58	3929	90.4	316	-89.9	0	-21.01032879	55.20984929	313941.9202	7675666.888	40	K	1434.725	467.555	313943.3002	7675668.203	313940.5402	7675665.572	-133.630194	Jul-29th-2024-03-56PM-Flight-Airdata	3.813142068	NA	3.813142068	NA	adult
20240729001A	59:03.2	4049	90.2	316	-90	0	-21.01019822	55.20991353	313948.4371	7675681.418	40	K	1464.7	650.98	313950.0371	7675682.665	313946.8371	7675680.171	-127.9347772	Jul-29th-2024-03-56PM-Flight-Airdata	4.057297139	NA	4.057297139	NA	adult
20240729001A	29/07/2024 11:59	4043	90.2	316	-89.9	0	-21.01019397	55.20990745	313947.7998	7675681.882	40	K	1463.595	641.825	313949.3906	7675683.149	313946.2089	7675680.615	-128.5433336	Jul-29th-2024-03-56PM-Flight-Airdata	4.067911824	NA	4.067911824	NA	adult
20240729001A	59:49.8	5450	90.1	323.9	-90	0	-21.00921424	55.20994765	313950.7629	7675790.398	40	K	1462.385	313.895	313952.407	7675791.538	313949.1187	7675789.258	-124.7274806	Jul-29th-2024-03-56PM-Flight-Airdata	4.001063761	NA	4.001063761	NA	adult
20240729001A	00:09.4	6034	90.1	323.9	-90	0	-21.00870723	55.21000296	313955.8839	7675846.594	40	K	1440.615	451.865	313957.4876	7675847.724	313954.2802	7675845.465	-125.1607857	Jul-29th-2024-03-56PM-Flight-Airdata	3.92312541	NA	3.92312541	NA	adult
20240729008A	35:05.6	5383	88.1	17.4	-68.4	0	-21.00724156	55.22435698	315446.3304	7676025.515	40	K	607.13	862.535	315444.6246	7676025.478	315448.0363	7676025.553	88.74492441	Jul-29th-2024-04-31PM-Flight-Airdata	NA	3.412511686	NA	NA	adult
20240729008A	36:19.2	7587	88.1	86.5	-90	0	-21.00755872	55.22466612	315478.8595	7675990.759	40	K	596.19	570.65	315477.1107	7675990.704	315480.6082	7675990.814	88.19156229	Jul-29th-2024-04-31PM-Flight-Airdata	NA	3.499211141	NA	NA	adult
20240729008A	32:52.4	1390	90.7	70.6	-61.3	0	-21.0060699	55.22437381	315446.6388	7676155.252	40	K	386.76	614.435	315445.0412	7676154.532	315448.2364	7676155.971	65.74991612	Jul-29th-2024-04-31PM-Flight-Airdata	NA	3.504418258	NA	NA	adult
20240729008A	32:56.6	1518	90.7	63.5	-64.1	0	-21.00607564	55.22435982	315445.1917	7676154.6	40	K	455.35	531.245	315443.6273	7676153.73	315446.7561	7676155.471	60.90212861	Jul-29th-2024-04-31PM-Flight-Airdata	NA	3.580697567	NA	NA	adult
