name,time,frame,height,yaw,pitch,roll,lat,lon,east,north,zone.number,zone.letter,image_x,image_y,start_east,start_north,end_east,end_north,heading,project,length,flukeprint_width,fluke_span,body_length,age_class
20240724011A,2024-07-24 07:16:29.500000,5319,62.4,1.7,-85.7,0,-21.0063016194358,55.1861909605452,311477.33574842,7676085.00984473,40,K,431.525,479.395,311478.576623075,7676083.67636015,311476.094873764,7676086.34332931,-42.939731698924,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.64304874423646,NA,NA,adult
20240724012A,2024-07-24 07:17:33.300000,7231,90.3,344.8,-90,0,-21.0059808914151,55.1860449586157,311461.753761161,7676120.34671402,40,K,214.68,729.61,311463.61170801,7676120.5253298,311459.895814312,7676120.16809824,-95.4913174790145,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.73302563109175,NA,NA,adult
20240724012A,2024-07-24 07:17:37.700000,7360,90.3,344.8,-89.9,0,-21.0057705764599,55.1860277377281,311459.699067837,7676143.61126613,40,K,277.045,519.285,311461.365026351,7676143.43471446,311458.033109323,7676143.7878178,-83.9506000198133,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.35057503324093,NA,NA,adult
20240724012A,2024-07-24 07:17:41.900000,7488,90.2,344.8,-90,0,-21.005706164431,55.1860558622717,311462.542043611,7676150.77579424,40,K,355.38,536.69,311464.344547968,7676150.77034448,311460.739539254,7676150.78124401,-89.8267702737315,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.60502519064579,NA,NA,adult
20240724012A,2024-07-24 07:17:46.300000,7617,90.2,348.7,-89.9,0,-21.0056094272343,55.1860580026396,311462.642977707,7676161.48851307,40,K,386.565,447.48,311464.448462924,7676161.04392599,311460.83749249,7676161.93310015,-76.1665631589576,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.71883559288888,NA,NA,adult
20240724012A,2024-07-24 07:17:56.100000,7914,90.4,17.5,-75.9,0,-21.0055042731613,55.1861268608149,311469.66958209,7676173.21184174,40,K,433.71,817.36,311471.401755162,7676173.73547934,311467.937409019,7676172.68820415,-106.820117776015,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.61918216353336,NA,NA,adult
20240724013A,2024-07-24 07:26:18.300000,22962,90.4,134.4,-83.5,0,-21.0093851159551,55.1887753531804,311749.888038864,7675746.67082774,40,K,97.905,518.56,311751.618443474,7675745.81391814,311748.157634254,7675747.52773735,-63.6550346270403,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.86191361248152,NA,NA,adult
20240724013A,2024-07-24 07:26:25.900000,23189,90.3,136.1,-90,0,-21.0093315829846,55.188743726567,311746.532903338,7675752.56041292,40,K,93.555,619.37,311748.114310861,7675751.49985369,311744.951495816,7675753.62097215,-56.1525117544205,Jul-24th-2024-11-13AM-Flight-Airdata,NA,3.80822038631462,NA,NA,adult
20240724012A,2024-07-24 07:17:18.500000,6788,90.3,354.3,-89.9,0,-21.0059457415647,55.186750280044,311535.037374174,7676125.07061036,40,K,1128.645,461.55,311533.472425161,7676130.58332153,311536.602323187,7676119.5578992,164.151810642555,Jul-24th-2024-11-13AM-Flight-Airdata,11.4610732127099,NA,NA,11.4610732127099,adult
20240724012A,2024-07-24 07:17:28.900000,7099,90.3,351.4,-90,0,-21.0056764352572,55.1867212766457,311531.683712002,7676154.85244793,40,K,1215.605,439.06,311531.905449653,7676160.49080452,311531.461974351,7676149.21409134,-177.747909725733,Jul-24th-2024-11-13AM-Flight-Airdata,11.285430008405,NA,NA,11.285430008405,adult
